x,Pv
0.001,1.7642446785877292e-05
0.001006935148416371,1.7685376824200835e-05
0.0010139183931162992,1.7728904376122642e-05
0.001020950067654649,1.7773037758172637e-05
0.001028030507899538,1.781778540236368e-05
0.0010351600520483787,1.786315585801771e-05
0.0010423390406440324,1.7909157793728148e-05
0.0010495678165910766,1.7955799998493815e-05
0.0010568467251721822,1.8003091383708794e-05
0.001064176114064607,1.8051040985397233e-05
0.001071556333356802,1.8099657965766588e-05
0.0010789877355651338,1.8148951612358066e-05
0.001086470675650722,1.8198931342739913e-05
0.0010940055110363947,1.8249606705929986e-05
0.00110159260162376,1.8300987384077574e-05
0.0011092323098103969,1.8353083193803736e-05
0.001116925000507166,1.8405904088386116e-05
0.0011246710411556384,1.845946015982781e-05
0.0011324708017456473,1.8513761640370873e-05
0.00114032465483296,1.85688189047673e-05
0.0011482329755570736,1.86246424722215e-05
0.0011561961416591334,1.8681243008158023e-05
0.0011642145334999749,1.8738631326768603e-05
0.0011722885340782934,1.87968183923911e-05
0.0011804185290489363,1.8855815322108874e-05
0.0011886049067413237,1.8915633387912558e-05
0.0011968480581780018,1.897628401841651e-05
0.0012051483770933117,1.9037778801374818e-05
0.0012135062599522024,1.9100129485923808e-05
0.0012219221059691662,1.916334798454859e-05
0.001230396317127307,1.922744637565727e-05
0.0012389292981975413,1.9292436905778582e-05
0.0012475214567579315,1.935833199172507e-05
0.001256173203213155,1.942514422341003e-05
0.0012648849508141065,1.9492886365660873e-05
0.0012736571156776364,1.9561571361106513e-05
0.0012824901168064279,1.963121233263659e-05
0.0012913843761090094,1.970182258557364e-05
0.0013003403184199082,1.9773415611455267e-05
0.0013093583715199414,1.9846005090040625e-05
0.00131843896615665,1.9919604888116338e-05
0.0013275825360648732,1.999422906711611e-05
0.0013367895179874653,2.0069891884515298e-05
0.0013460603516961573,2.014660779611159e-05
0.0013553954800125628,2.0224391459127403e-05
0.0013647953488293283,2.0303257734511307e-05
0.0013742604071314325,2.0383221690196878e-05
0.0013837911070176314,2.0464298603911673e-05
0.0013933879037220532,2.054650396580781e-05
0.0014030512556359417,2.062985348178618e-05
0.0014127816243295526,2.071436307627294e-05
0.0014225794745741998,2.0800048895268802e-05
0.0014324452743644548,2.0886927309630253e-05
0.0014423794949405017,2.097501491798062e-05
0.0014523826108106444,2.106432854991812e-05
0.0014624550997739726,2.1154885269407874e-05
0.0014725974429431836,2.1246702377716524e-05
0.0014828101247675632,2.133979741704017e-05
0.0014930936330561238,2.1434188173771702e-05
0.0015034484590009066,2.1529892681662324e-05
0.0015138750972004422,2.1626929225634812e-05
0.0015243740456833753,2.172531634497861e-05
0.0015349458059322535,2.1825072836987454e-05
0.0015455908829074799,2.1926217760707625e-05
0.001556309785071433,2.202877044033415e-05
0.001567103024412754,2.2132750469030575e-05
0.0015779711164708003,2.22381777127061e-05
0.001588914580360272,2.2345072315166937e-05
0.0015999339387960064,2.245345470097184e-05
0.0016110297181179457,2.2563345574376597e-05
0.001622202448316278,2.26747659298868e-05
0.0016334526630567517,2.278773705489997e-05
0.0016447808997061652,2.2902280532945762e-05
0.0016561876993580413,2.3018418247933373e-05
0.0016676736068584558,2.3136172388490283e-05
0.0016792391708320838,2.3255565451930474e-05
0.001690884943708388,2.337662024872291e-05
0.001702611481748013,2.3499359906788488e-05
0.0017144193450693529,2.3623807875895542e-05
0.0017263090976753063,2.3749987932246e-05
0.0017382813074802161,2.3877924182964757e-05
0.0017503365463369949,2.4007641070540147e-05
0.00176247539006444,2.413916337782243e-05
0.0017746984184747385,2.4272516232428418e-05
0.0017870062154011596,2.4407725111681452e-05
0.0017993993687259442,2.454481584764554e-05
0.0018118784704083829,2.468381463175128e-05
0.0018244441165130923,2.482474802001773e-05
0.0018370969072384854,2.49676429380047e-05
0.0018498374469454405,2.5112526686015696e-05
0.001862666344186168,2.5259426944348036e-05
0.0018755842117332783,2.5408371778545552e-05
